epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,77.6736,0.78679,0.65728,1.04087,0.84644,0.90552,0.93839,0.70636,0.939,0.73287,1.06985,0.00149207,0.00149207,0.00149207
55,79.0601,0.83773,0.6722,1.03996,0.84976,0.92178,0.92034,0.69173,1.02818,0.85981,1.11833,0.00148876,0.00148876,0.00148876
56,80.4481,0.93158,0.73487,1.07036,0.83133,0.9139,0.89733,0.66265,1.062,1.01478,1.14545,0.00148546,0.00148546,0.00148546
57,81.9122,0.81114,0.71291,1.03672,0.65683,0.90188,0.74624,0.60078,0.9761,0.95929,1.10301,0.00148216,0.00148216,0.00148216
58,83.2949,0.82612,0.76353,1.044,0.78263,0.93366,0.91113,0.68752,0.92911,0.84914,1.08455,0.00147886,0.00147886,0.00147886
59,84.6724,0.80427,0.71152,1.0069,0.81713,0.92407,0.93477,0.70675,0.9224,0.82563,1.06663,0.00147556,0.00147556,0.00147556
60,86.0622,0.75034,0.65127,0.9902,0.82668,0.94307,0.94272,0.71506,0.94214,0.85936,1.07613,0.00147226,0.00147226,0.00147226
61,87.4487,0.79553,0.68471,1.01301,0.85008,0.94631,0.95214,0.72443,0.93603,0.84057,1.06787,0.00146896,0.00146896,0.00146896
62,88.9059,0.74941,0.62266,0.99434,0.87867,0.93602,0.95573,0.73309,0.88053,0.77789,1.03207,0.00146566,0.00146566,0.00146566
63,90.3617,0.73423,0.58589,0.96954,0.90801,0.93553,0.94928,0.73142,0.87529,0.67834,1.02649,0.00146236,0.00146236,0.00146236
64,91.8348,0.72847,0.58749,0.97803,0.89331,0.93873,0.94545,0.7256,0.90497,0.72339,1.03625,0.00145906,0.00145906,0.00145906
65,93.2153,0.7667,0.64715,0.99615,0.8893,0.94916,0.95639,0.7352,0.85804,0.63121,1.01056,0.00145576,0.00145576,0.00145576
66,94.6679,0.7683,0.63175,1.02132,0.87416,0.93534,0.95382,0.73792,0.83752,0.66479,1.00285,0.00145246,0.00145246,0.00145246
67,96.1197,0.73353,0.65572,1.003,0.86262,0.92031,0.93996,0.721,0.85306,0.68735,1.01282,0.00144916,0.00144916,0.00144916
68,97.5107,0.72954,0.60982,0.99042,0.84844,0.90398,0.92967,0.69162,0.93148,0.71339,1.04875,0.00144586,0.00144586,0.00144586
69,98.893,0.7694,0.62243,0.97905,0.86339,0.92037,0.93712,0.72102,0.91367,0.76507,1.05441,0.00144256,0.00144256,0.00144256
70,100.276,0.77958,0.60622,0.99588,0.83587,0.91092,0.9366,0.71535,0.94378,0.78031,1.07594,0.00143925,0.00143925,0.00143925
71,101.733,0.74816,0.64741,0.99334,0.68001,0.88461,0.79965,0.58091,1.05673,0.90865,1.10297,0.00143595,0.00143595,0.00143595
72,103.121,0.73657,0.61205,0.97776,0.80295,0.92983,0.92734,0.71316,0.88122,0.72486,1.04666,0.00143265,0.00143265,0.00143265
73,104.504,0.73281,0.61671,0.98808,0.81752,0.91655,0.91337,0.69501,0.89727,0.75693,1.06306,0.00142935,0.00142935,0.00142935
74,105.893,0.79179,0.63189,1.00612,0.79377,0.88234,0.87935,0.67334,0.94423,0.86686,1.08118,0.00142605,0.00142605,0.00142605
75,107.277,0.79057,0.67461,1.015,0.8274,0.87093,0.89103,0.67406,0.92476,0.85182,1.05909,0.00142275,0.00142275,0.00142275
76,108.668,0.76231,0.62207,0.97371,0.85946,0.92444,0.94731,0.69558,0.9944,0.87212,1.08548,0.00141945,0.00141945,0.00141945
